Language,LanguageName,Country,Sub-topic,Items
pt,Portuguese,Canada,Platform governance,2
pt,Portuguese,Germany,Regulative,2
pt,Portuguese,India,Platform governance,2
pt,Portuguese,India,Regulative,2
pt,Portuguese,Indonesia,Regulative,2
pt,Portuguese,Myanmar,Platform governance,2
pt,Portuguese,Portugal,Debate management,2
pt,Portuguese,Portugal,Platform regulation,2
pt,Portuguese,Turkey,Regulative,2
pt,Portuguese,United Kingdom,Compliance,2
pt,Portuguese,United Kingdom,Regulative,2
pt,Portuguese,United States,Community norms and identity,2
pt,Portuguese,United States,Debate management,2
pt,Portuguese,United States,Gatekeeping (selection theory),2
pt,Portuguese,United States,Moderation as industrial labour,2
und,undetermined,European Union,Platform governance,2
und,undetermined,France,Debate management,2
und,undetermined,Germany,Platform governance,2
und,undetermined,United States,Platform governance,2
en,English,(unspecified),Constitutive,1
en,English,(unspecified),Gatekeeping (selection theory),1
en,English,(unspecified),Moderating extremism,1
en,English,(unspecified),Platform regulation,1
en,English,(unspecified),Regulative,1
en,English,Africa,Compliance,1
en,English,Algeria,Common carriage / neutral conduit,1
en,English,Algeria,Debate management,1
en,English,Americas,Censorship,1
en,English,Americas,Platform governance,1
en,English,Argentina,Censorship,1
en,English,Argentina,Platform governance,1
en,English,Austria,Censorship,1
en,English,Austria,Compliance,1
en,English,Austria,Moderating extremism,1
en,English,Austria,Regulative,1
en,English,Bahrain,Public trusteeship / public interest,1
en,English,Bangladesh,Community norms and identity,1
en,English,Bangladesh,Platform governance,1
en,English,Belarus,Compliance,1
en,English,Belarus,Regulative,1
en,English,Belgium,Platform governance,1
en,English,Bolivia,Compliance,1
en,English,Bolivia,Debate management,1
en,English,Bosnia,Censorship,1
en,English,Bosnia,Debate management,1
en,English,Brazil,Common carriage / neutral conduit,1
en,English,Bulgaria,Censorship,1
en,English,Cameroon,Platform governance,1
en,English,Central African Republic,Platform governance,1
en,English,Chile,Censorship,1
en,English,Chile,Platform governance,1
en,English,China,Public trusteeship / public interest,1
en,English,Colombia,Community norms and identity,1
en,English,Croatia,Censorship,1
en,English,Cuba,Platform governance,1
en,English,Denmark,Debate management,1
en,English,Eastern Europe,Compliance,1
en,English,Ecuador,Platform governance,1
en,English,Egypt,Common carriage / neutral conduit,1
en,English,Egypt,Public trusteeship / public interest,1
en,English,Egypt,Regulative,1
en,English,Estonia,Censorship,1
en,English,Estonia,Compliance,1
en,English,Estonia,Platform governance,1
en,English,Estonia,Platform regulation,1
en,English,Estonia,Regulative,1
en,English,Ethiopia,Censorship,1
en,English,Ethiopia,Regulative,1
en,English,Europe,Community norms and identity,1
en,English,Europe,Compliance,1
en,English,European Union,Brand safety,1
en,English,European Union,Debate management,1
en,English,European Union,Infrastructural,1
en,English,European Union,Public trusteeship / public interest,1
en,English,Fiji,Debate management,1
en,English,Finland,Debate management,1
en,English,Finland,Other: not censorship state,1
en,English,Finland,Platform governance,1
en,English,France,Infrastructural,1
en,English,France,Moderation as industrial labour,1
en,English,Global South,Moderation as industrial labour,1
en,English,Greece,Debate management,1
en,English,Greece,Regulative,1
en,English,Guatemala,Platform governance,1
en,English,Honduras,Compliance,1
en,English,Honduras,Platform regulation,1
en,English,Hungary,Censorship,1
en,English,Hungary,Moderating extremism,1
en,English,Hungary,Regulative,1
en,English,Iceland,Regulative,1
en,English,India,Public trusteeship / public interest,1
en,English,India,Regulative,1
en,English,Indonesia,Moderating extremism,1
en,English,Indonesia,Moderation as industrial labour,1
en,English,Iran,Public trusteeship / public interest,1
en,English,Ireland,Censorship,1
en,English,Ireland,Community norms and identity,1
en,English,Ireland,Debate management,1
en,English,Ireland,Moderation as industrial labour,1
en,English,Ireland,Platform regulation,1
en,English,Israel,Common carriage / neutral conduit,1
en,English,Israel,Compliance,1
en,English,Italy,Censorship,1
en,English,Italy,Common carriage / neutral conduit,1
en,English,Italy,Compliance,1
en,English,Italy,Moderating extremism,1
en,English,Italy,Platform regulation,1
en,English,Japan,Censorship,1
en,English,Japan,Compliance,1
en,English,Japan,Platform governance,1
en,English,Jordan,Censorship,1
en,English,Jordan,Common carriage / neutral conduit,1
en,English,Jordan,Compliance,1
en,English,Kenya,Censorship,1
en,English,Kenya,Community norms and identity,1
en,English,Kenya,Compliance,1
en,English,Kenya,Platform regulation,1
en,English,Latin America,Compliance,1
en,English,Lebanon,Censorship,1
en,English,Lebanon,Debate management,1
en,English,Libya,Censorship,1
en,English,Libya,Platform governance,1
en,English,Libya,Platform regulation,1
en,English,Libya,Public trusteeship / public interest,1
en,English,Malaysia,Compliance,1
en,English,Malaysia,Debate management,1
en,English,Mexico,Community norms and identity,1
en,English,Mexico,Moderation as industrial labour,1
en,English,Mexico,Regulative,1
en,English,Middle East,Platform governance,1
en,English,Morocco,Common carriage / neutral conduit,1
en,English,Myanmar,Compliance,1
en,English,Myanmar,Moderation as industrial labour,1
en,English,Myanmar,Regulative,1
en,English,Namibia,Platform governance,1
en,English,Netherlands,Censorship,1
en,English,Netherlands,Moderating extremism,1
en,English,Netherlands,Other: not censorship state,1
en,English,New Zealand,Community norms and identity,1
en,English,New Zealand,Compliance,1
en,English,New Zealand,Moderating extremism,1
en,English,New Zealand,Platform regulation,1
en,English,Nigeria,Debate management,1
en,English,North America,Compliance,1
en,English,Northern Ireland,Debate management,1
en,English,Norway,Censorship,1
en,English,Norway,Gatekeeping (selection theory),1
en,English,Pakistan,Compliance,1
en,English,Palestine,Censorship,1
en,English,Palestine,Common carriage / neutral conduit,1
en,English,Palestine,Compliance,1
en,English,Palestine,Regulative,1
en,English,Papua New Guinea,Debate management,1
en,English,Philippines,Brand safety,1
en,English,Poland,Regulative,1
en,English,Portugal,Censorship,1
en,English,Portugal,Platform governance,1
en,English,Portugal,Regulative,1
en,English,Qatar,Debate management,1
en,English,Qatar,Platform governance,1
en,English,Republic of Korea,Community norms and identity,1
en,English,Romania,Censorship,1
en,English,Romania,Compliance,1
en,English,Romania,Regulative,1
en,English,Russia,Public trusteeship / public interest,1
en,English,Russian Federation,Censorship,1
en,English,Saudi Arabia,Common carriage / neutral conduit,1
en,English,Singapore,Compliance,1
en,English,Singapore,Regulative,1
en,English,Slovakia,Compliance,1
en,English,Slovenia,Platform governance,1
en,English,Slovenia,Platform regulation,1
en,English,South Africa,Compliance,1
en,English,South Africa,Debate management,1
en,English,South Asia,Platform governance,1
en,English,South Korea,Compliance,1
en,English,South Korea,Public trusteeship / public interest,1
en,English,South Sudan,Censorship,1
en,English,Spain,Community norms and identity,1
en,English,Spain,Debate management,1
en,English,Spain,Moderation as industrial labour,1
en,English,Sri Lanka,Censorship,1
en,English,Sri Lanka,Debate management,1
en,English,Sudan,Censorship,1
en,English,Sweden,Debate management,1
en,English,Sweden,Moderating extremism,1
en,English,Sweden,Other: not censorship state,1
en,English,Syria,Platform regulation,1
en,English,Syria,Public trusteeship / public interest,1
en,English,Syria,Regulative,1
en,English,Taiwan,Debate management,1
en,English,Taiwan,Platform governance,1
en,English,Taiwan,Regulative,1
en,English,Thailand,Compliance,1
en,English,Thailand,Platform regulation,1
en,English,Thailand,Regulative,1
en,English,Togo,Platform governance,1
en,English,Tunisia,Common carriage / neutral conduit,1
en,English,Tunisia,Platform governance,1
en,English,Tunisia,Public trusteeship / public interest,1
en,English,Tunisia,Regulative,1
en,English,Turkey,Debate management,1
en,English,Turkey,Platform regulation,1
en,English,Türkiye,Censorship,1
en,English,UK,Community norms and identity,1
en,English,UK,Moderating extremism,1
en,English,UK,Regulative,1
en,English,US,Regulative,1
en,English,USA,Community norms and identity,1
en,English,USA,Regulative,1
en,English,Uganda,Platform regulation,1
en,English,Ukraine,Community norms and identity,1
en,English,Ukraine,Debate management,1
en,English,United Arab Emirates,Platform governance,1
en,English,United Kingdom,Brand safety,1
en,English,United Kingdom,Other: not censorship state,1
en,English,United States,Infrastructural,1
en,English,United States,Public trusteeship / public interest,1
en,English,Uruguay,Community norms and identity,1
en,English,Uzbekistan,Compliance,1
en,English,Venezuela,Compliance,1
