Topic,Medium,How,Items
Other,Social media platform,Self-censorship,6
Other,Video sharing platform,Monitoring,6
Censorship,AI,Disclosure,5
Censorship,AI,Economic,5
Censorship,AI,Monitoring,5
Censorship,Academic publications,Enframing,5
Censorship,Academic publications,Removal from circulation,5
Censorship,Academic publications,Restricting access,5
Censorship,Blog,Enframing,5
Censorship,Blog,Profiling,5
Censorship,ISP,Marginalisation,5
Censorship,Image sharing platform,Restricting access,5
Censorship,Internet (general),Labeling,5
Censorship,Library,Filtering,5
Censorship,Library,Rating,5
Censorship,Mass media (traditional),Economic,5
Censorship,Mass media (traditional),Modification,5
Censorship,Messaging platform,Interiorisation,5
Censorship,Messaging platform,Metamoderation,5
Censorship,Music,Removal,5
Censorship,News media,Deplatforming,5
Censorship,News media,Modification,5
Censorship,Online fora,Deplatforming,5
Censorship,Online fora,Restricting access,5
Censorship,Performing arts,Correcting,5
Censorship,Platforms,Economic,5
Censorship,Radio,Balancing,5
Censorship,Radio,Redirection,5
Censorship,Search engine,Agenda setting,5
Censorship,Search engine,Obfuscation,5
Censorship,Television,Fairness,5
Censorship,Video sharing platform,Agenda setting,5
Censorship,Videoconferencing,Filtering,5
Censorship,Videoconferencing,Monitoring,5
Censorship,Web,Filtering,5
Censorship,Web,Restricting access,5
Censorship,Wikis,Disclosure,5
Censorship,Wikis,Modification,5
Content moderation,AI,Balancing,5
Content moderation,AI,Redirection,5
Content moderation,Alt-tech,Rating,5
Content moderation,Alt-tech,Self-censorship,5
Content moderation,App store,Correcting,5
Content moderation,Blog,Deplatforming,5
Content moderation,Blog,Disclosure,5
Content moderation,Blog,Restricting access,5
Content moderation,Cloud computing,Deplatforming,5
Content moderation,Cloud computing,Economic,5
Content moderation,Cloud computing,Restricting access,5
Content moderation,Cloud computing,Review,5
Content moderation,Dating app,Review,5
Content moderation,Decentralized social media,Disclosure,5
Content moderation,Decentralized social media,Modification,5
Content moderation,ISP,Coersive,5
Content moderation,ISP,Removal from circulation,5
Content moderation,ISP,Scheduling,5
Content moderation,ISP,Self-censorship,5
Content moderation,Imageboard,Correcting,5
Content moderation,Imageboard,Disclosure,5
Content moderation,Imageboard,Metamoderation,5
Content moderation,Imageboard,Restricting access,5
Content moderation,Imageboard,Self-censorship,5
Content moderation,Infrastructure,Blocking,5
Content moderation,Infrastructure,Removal,5
Content moderation,Infrastructure,Review,5
Content moderation,Internet (general),Removal,5
Content moderation,Marketplace,Disclosure,5
Content moderation,Messaging platform,Agenda setting,5
Content moderation,Messaging platform,Balancing,5
Content moderation,Messaging platform,Bridging,5
Content moderation,Messaging platform,Fairness,5
Content moderation,Music streaming,Disclosure,5
Content moderation,News media,Marginalisation,5
Content moderation,Online fora,Economic,5
Content moderation,Online fora,Marginalisation,5
Content moderation,Online fora,Redirection,5
Content moderation,Online learning platform,Coherence,5
Content moderation,Online learning platform,Intelligibility,5
Content moderation,Payment platform,Deplatforming,5
Content moderation,Payment platform,Enframing,5
Content moderation,Platforms,Coersive,5
Content moderation,Print media,Prompting,5
Content moderation,Q&A platform,Enframing,5
Content moderation,Q&A platform,Filtering,5
Content moderation,Q&A platform,Monitoring,5
Content moderation,Radio,Blocking,5
Content moderation,Radio,Enframing,5
Content moderation,Radio,Filtering,5
Content moderation,Radio,Removal,5
Content moderation,Radio,Review,5
Content moderation,Russian social media platform,Removal,5
Content moderation,Russian social media platform,Review,5
Content moderation,Search engine,Coherence,5
Content moderation,Short video platform,Correcting,5
Content moderation,Television,Modification,5
Content moderation,Television,Profiling,5
Content moderation,Video game,Monitoring,5
Content moderation,Video streaming platform,Blocking,5
Content moderation,Video streaming platform,Enframing,5
Content moderation,Video streaming platform,Marginalisation,5
Content moderation,Video streaming platform,Review,5
Content moderation,Videoconferencing,Enframing,5
Content moderation,Wikis,Intelligibility,5
Debate management,Online learning platform,Coherence,5
Debate management,Online learning platform,Filtering,5
Debate management,Online learning platform,Intelligibility,5
Debate management,Social media platform,Intelligibility,5
Media moderation,Film,Enframing,5
Media moderation,Film,Filtering,5
Media moderation,Print media,Agenda setting,5
Media moderation,Print media,Labeling,5
Media moderation,Print media,Metamoderation,5
Media moderation,Print media,Profiling,5
Media moderation,Print media,Removal from circulation,5
Media moderation,Print media,Self-censorship,5
Media moderation,Radio,Filtering,5
Media moderation,Search engine,Blocking,5
Media moderation,Social media platform,Disclosure,5
Media moderation,Social media platform,Economic,5
Media moderation,Social media platform,Marginalisation,5
Media moderation,Social media platform,Metamoderation,5
Media moderation,Social media platform,Modification,5
Media moderation,Video sharing platform,Blocking,5
Media moderation,Video sharing platform,Enframing,5
Media moderation,Video sharing platform,Review,5
Media moderation,Wikis,Filtering,5
Other,Social media platform,Marginalisation,5
Other,Social media platform,Modification,5
Other,Video sharing platform,Enframing,5
Other,Video sharing platform,Review,5
(unknown),Social media platform,Correcting,4
(unknown),Social media platform,Removal,4
Censorship,AI,Deplatforming,4
Censorship,AI,Labeling,4
Censorship,Academic publications,Coersive,4
Censorship,Academic publications,Labeling,4
Censorship,Academic publications,Licensing,4
Censorship,Academic publications,Monitoring,4
Censorship,Blog,Licensing,4
Censorship,Browser,Blocking,4
Censorship,Comics,Enframing,4
Censorship,Comics,Filtering,4
Censorship,Comics,Modification,4
Censorship,Comics,Removal,4
Censorship,Comics,Review,4
Censorship,Comics,Self-censorship,4
Censorship,E-commerce,Enframing,4
Censorship,E-commerce,Filtering,4
Censorship,E-commerce,Removal,4
Censorship,Film,Fairness,4
Censorship,Film,Prompting,4
Censorship,ISP,Scheduling,4
Censorship,Image sharing platform,Monitoring,4
Censorship,Image sharing platform,Removal,4
Censorship,Infrastructure,Filtering,4
Censorship,Infrastructure,Restricting access,4
Censorship,Internet (general),Marginalisation,4
Censorship,Internet (general),Obfuscation,4
Censorship,Internet (general),Redirection,4
Censorship,Library,Confiscation,4
Censorship,Library,Profiling,4
Censorship,Library,Restricting access,4
Censorship,Literature,Filtering,4
Censorship,Mass media (traditional),Coersive,4
Censorship,Mass media (traditional),Enframing,4
Censorship,Mass media (traditional),Interiorisation,4
Censorship,Mass media (traditional),Monitoring,4
Censorship,Mass media (traditional),Removal,4
Censorship,Mass media (traditional),Removal from circulation,4
Censorship,Mass media (traditional),Review,4
Censorship,Messaging platform,Prompting,4
Censorship,Mobile device,Filtering,4
Censorship,Music,Confiscation,4
Censorship,Music,Deplatforming,4
Censorship,Music,Interiorisation,4
Censorship,Music,Labeling,4
Censorship,Music,Monitoring,4
Censorship,Music streaming,Monitoring,4
Censorship,News media,Coersive,4
Censorship,News media,Enframing,4
Censorship,News media,Removal,4
Censorship,News media,Review,4
Censorship,Online fora,Modification,4
Censorship,Online fora,Monitoring,4
Censorship,Online fora,Prompting,4
Censorship,Performing arts,Disclosure,4
Censorship,Performing arts,Marginalisation,4
Censorship,Photography,Modification,4
Censorship,Platforms,Monitoring,4
Censorship,Platforms,Profiling,4
Censorship,Platforms,Self-censorship,4
Censorship,Portal,Filtering,4
Censorship,Portal,Removal,4
Censorship,Protocol,Blocking,4
Censorship,Protocol,Modification,4
Censorship,Protocol,Profiling,4
Censorship,Radio,Prompting,4
Censorship,Search engine,Rating,4
Censorship,Social media platform,Intelligibility,4
Censorship,Telephony,Blocking,4
Censorship,Telephony,Monitoring,4
Censorship,Telephony,Restricting access,4
Censorship,Television,Metamoderation,4
Censorship,VPN,Blocking,4
Censorship,VPN,Deplatforming,4
Censorship,Video game,Rating,4
Censorship,Video game,Self-censorship,4
Censorship,Video sharing platform,Metamoderation,4
Censorship,Video sharing platform,Rating,4
Censorship,Video streaming platform,Filtering,4
Censorship,Videoconferencing,Profiling,4
Censorship,Visual arts,Blocking,4
Censorship,Visual arts,Licensing,4
Censorship,Visual arts,Monitoring,4
Censorship,Web,Monitoring,4
Censorship,Wikis,Deplatforming,4
Censorship,Wikis,Marginalisation,4
Censorship,Wikis,Removal from circulation,4
Content moderation,AI,Bridging,4
Content moderation,AI,Intermediate,4
Content moderation,AI,Self-censorship,4
Content moderation,Adult content platform,Profiling,4
Content moderation,Adult content platform,Review,4
Content moderation,Alt-tech,Modification,4
Content moderation,Alt-tech,Redirection,4
Content moderation,Alt-tech,Removal from circulation,4
Content moderation,App store,Rating,4
Content moderation,App store,Scheduling,4
Content moderation,Blog,Labeling,4
Content moderation,Blog,Marginalisation,4
Content moderation,Blog,Metamoderation,4
Content moderation,Cloud computing,Blocking,4
Content moderation,Cloud computing,Enframing,4
Content moderation,Cloud computing,Filtering,4
Content moderation,Cloud computing,Monitoring,4
Content moderation,Cloud computing,Profiling,4
Content moderation,Dating app,Enframing,4
Content moderation,Dating app,Removal,4
Content moderation,Dating app,Self-censorship,4
Content moderation,Deliberation platform,Modification,4
Content moderation,Deliberation platform,Removal,4
Content moderation,Deliberation platform,Review,4
Content moderation,E-commerce,Rating,4
Content moderation,E-commerce,Self-censorship,4
Content moderation,Film,Filtering,4
Content moderation,Film,Removal,4
Content moderation,ISP,Intelligibility,4
Content moderation,ISP,Prompting,4
Content moderation,ISP,Redirection,4
Content moderation,Image sharing platform,Filtering,4
Content moderation,Image sharing platform,Profiling,4
Content moderation,Image sharing platform,Review,4
Content moderation,Imageboard,Rating,4
Content moderation,Infrastructure,Economic,4
Content moderation,Infrastructure,Enframing,4
Content moderation,Infrastructure,Monitoring,4
Content moderation,Internet (general),Deplatforming,4
Content moderation,Internet (general),Filtering,4
Content moderation,Internet (general),Monitoring,4
Content moderation,Internet (general),Review,4
Content moderation,Marketplace,Deplatforming,4
Content moderation,Marketplace,Economic,4
Content moderation,Marketplace,Labeling,4
Content moderation,Marketplace,Restricting access,4
Content moderation,Music streaming,Labeling,4
Content moderation,Music streaming,Metamoderation,4
Content moderation,Music streaming,Monitoring,4
Content moderation,Online fora,Intelligibility,4
Content moderation,Online fora,Restricting access,4
Content moderation,Online learning platform,Review,4
Content moderation,Payment platform,Economic,4
Content moderation,Payment platform,Restricting access,4
Content moderation,Platforms,Interiorisation,4
Content moderation,Platforms,Licensing,4
Content moderation,Portal,Enframing,4
Content moderation,Portal,Filtering,4
Content moderation,Portal,Review,4
Content moderation,Print media,Coersive,4
Content moderation,Q&A platform,Removal,4
Content moderation,Radio,Correcting,4
Content moderation,Radio,Marginalisation,4
Content moderation,Review platform,Enframing,4
Content moderation,Review platform,Removal,4
Content moderation,Ride-sharing platform,Removal,4
Content moderation,Russian social media platform,Enframing,4
Content moderation,Search engine,Bridging,4
Content moderation,Short video platform,Disclosure,4
Content moderation,Short video platform,Self-censorship,4
Content moderation,Television,Coersive,4
Content moderation,Television,Disclosure,4
Content moderation,Television,Marginalisation,4
Content moderation,Television,Metamoderation,4
Content moderation,Television,Self-censorship,4
Content moderation,Video game,Labeling,4
Content moderation,Video game,Restricting access,4
Content moderation,Video sharing platform,Fairness,4
Content moderation,Video streaming platform,Profiling,4
Content moderation,Videoconferencing,Economic,4
Content moderation,Videoconferencing,Marginalisation,4
Content moderation,Videoconferencing,Monitoring,4
Content moderation,Videoconferencing,Review,4
Content moderation,Wikis,Intermediate,4
Content moderation,Wikis,Obfuscation,4
Debate management,Deliberation platform,Enframing,4
Debate management,Deliberation platform,Filtering,4
Debate management,Messaging platform,Filtering,4
Debate management,Messaging platform,Prompting,4
Debate management,Online fora,Balancing,4
Debate management,Online fora,Inclusion,4
Debate management,Online fora,Monitoring,4
Debate management,Social media platform,Monitoring,4
Debate management,Social media platform,Removal,4
Media moderation,Film,Removal,4
Media moderation,Film,Removal from circulation,4
Media moderation,ISP,Enframing,4
Media moderation,ISP,Removal,4
Media moderation,Internet (general),Blocking,4
Media moderation,Internet (general),Enframing,4
Media moderation,Internet (general),Filtering,4
Media moderation,Print media,Coersive,4
Media moderation,Print media,Correcting,4
Media moderation,Print media,Deplatforming,4
Media moderation,Print media,Economic,4
Media moderation,Print media,Licensing,4
Media moderation,Radio,Blocking,4
Media moderation,Radio,Enframing,4
Media moderation,Search engine,Economic,4
Media moderation,Social media platform,Rating,4
Media moderation,Television,Agenda setting,4
Media moderation,Television,Blocking,4
Media moderation,Television,Coersive,4
Media moderation,Television,Removal from circulation,4
Media moderation,Wikis,Blocking,4
Media moderation,Wikis,Review,4
Media regulation,Film,Rating,4
Media regulation,Internet (general),Rating,4
Media regulation,Social media platform,Deplatforming,4
Media regulation,Social media platform,Enframing,4
Media regulation,Social media platform,Review,4
Media regulation,Television,Rating,4
Other,AI,Filtering,4
Other,Search engine,Filtering,4
Other,Social media platform,Restricting access,4
Other,Video sharing platform,Correcting,4
Other,Video sharing platform,Labeling,4
Other,Video sharing platform,Profiling,4
(unknown),Social media platform,Monitoring,3
(unknown),Social media platform,Review,3
Censorship,AI,Coersive,3
Censorship,AI,Correcting,3
Censorship,AI,Licensing,3
Censorship,AI,Self-censorship,3
Censorship,Academic publications,Deplatforming,3
Censorship,Academic publications,Modification,3
Censorship,Academic publications,Removal,3
Censorship,Blog,Disclosure,3
Censorship,Blog,Modification,3
Censorship,Blog,Obfuscation,3
Censorship,Blog,Redirection,3
Censorship,Browser,Deplatforming,3
Censorship,Browser,Removal from circulation,3
Censorship,Browser,Review,3
Censorship,Comics,Confiscation,3
Censorship,Comics,Obfuscation,3
Censorship,Comics,Profiling,3
Censorship,Correspondence,Filtering,3
Censorship,Correspondence,Modification,3
Censorship,Deliberation platform,Filtering,3
Censorship,Deliberation platform,Intelligibility,3
Censorship,Deliberation platform,Prompting,3
Censorship,Educational material,Enframing,3
Censorship,Educational material,Modification,3
Censorship,Educational material,Removal,3
Censorship,Educational material,Self-censorship,3
Censorship,Email,Filtering,3
Censorship,Email,Monitoring,3
Censorship,Email,Removal,3
Censorship,Email,Restricting access,3
Censorship,Email,Self-censorship,3
Censorship,Film,Intermediate,3
Censorship,Film,Metamoderation,3
Censorship,ISP,Interiorisation,3
Censorship,Infrastructure,Monitoring,3
Censorship,Infrastructure,Profiling,3
Censorship,Infrastructure,Review,3
Censorship,Infrastructure,Self-censorship,3
Censorship,Internet (general),Agenda setting,3
Censorship,Internet (general),Disclosure,3
Censorship,Internet (general),Scheduling,3
Censorship,Library,Coersive,3
Censorship,Library,Modification,3
Censorship,Library,Monitoring,3
Censorship,Library,Review,3
Censorship,Literature,Removal,3
Censorship,Literature,Removal from circulation,3
Censorship,Mass media (traditional),Deplatforming,3
Censorship,Mass media (traditional),Disclosure,3
Censorship,Mass media (traditional),Profiling,3
Censorship,Mass media (traditional),Restricting access,3
Censorship,Mass media (traditional),Self-censorship,3
Censorship,Media (general),Enframing,3
Censorship,Messaging platform,Agenda setting,3
Censorship,Messaging platform,Rating,3
Censorship,Messaging platform,Redirection,3
Censorship,Messaging platform,Removal from circulation,3
Censorship,Mobile device,Blocking,3
Censorship,Mobile device,Removal,3
Censorship,Music,Agenda setting,3
Censorship,Music,Balancing,3
Censorship,Music,Blocking,3
Censorship,Music,Obfuscation,3
Censorship,Music streaming,Restricting access,3
Censorship,News aggregator,Blocking,3
Censorship,News aggregator,Deplatforming,3
Censorship,News aggregator,Modification,3
Censorship,News aggregator,Monitoring,3
Censorship,News aggregator,Removal,3
Censorship,News aggregator,Self-censorship,3
Censorship,News media,Agenda setting,3
Censorship,News media,Economic,3
Censorship,News media,Licensing,3
Censorship,News media,Profiling,3
Censorship,Online fora,Intermediate,3
Censorship,Online fora,Licensing,3
Censorship,Online fora,Metamoderation,3
Censorship,Online fora,Profiling,3
Censorship,Online fora,Redirection,3
Censorship,Online fora,Scheduling,3
Censorship,Payment platform,Blocking,3
Censorship,Payment platform,Enframing,3
Censorship,Payment platform,Filtering,3
Censorship,Payment platform,Monitoring,3
Censorship,Payment platform,Removal,3
Censorship,Performing arts,Redirection,3
Censorship,Performing arts,Scheduling,3
Censorship,Platforms,Restricting access,3
Censorship,Platforms,Scheduling,3
Censorship,Portal,Blocking,3
Censorship,Portal,Profiling,3
Censorship,Portal,Restricting access,3
Censorship,Portal,Self-censorship,3
Censorship,Print media,Coherence,3
Censorship,Print media,Inclusion,3
Censorship,Print media,Intelligibility,3
Censorship,Protocol,Removal,3
Censorship,Protocol,Review,3
Censorship,Radio,Fairness,3
Censorship,Radio,Metamoderation,3
Censorship,Search engine,Scheduling,3
Censorship,Social media platform,Balancing,3
Censorship,Social media platform,Coherence,3
Censorship,Software,Filtering,3
Censorship,Software,Monitoring,3
Censorship,Software,Restricting access,3
Censorship,Telephony,Filtering,3
Censorship,Telephony,Removal,3
Censorship,Telephony,Self-censorship,3
Censorship,Television,Intermediate,3
Censorship,VPN,Profiling,3
Censorship,Video game,Enframing,3
Censorship,Video game,Filtering,3
Censorship,Video game,Removal,3
Censorship,Video game,Removal from circulation,3
Censorship,Video sharing platform,Confiscation,3
Censorship,Video sharing platform,Scheduling,3
Censorship,Video streaming platform,Monitoring,3
Censorship,Video streaming platform,Profiling,3
Censorship,Video streaming platform,Review,3
Censorship,Video streaming platform,Self-censorship,3
Censorship,Videoconferencing,Redirection,3
Censorship,Visual arts,Coersive,3
Censorship,Visual arts,Confiscation,3
Censorship,Visual arts,Labeling,3
Censorship,Visual arts,Marginalisation,3
Censorship,Visual arts,Obfuscation,3
Censorship,Visual arts,Profiling,3
Censorship,Visual arts,Rating,3
Censorship,Web,Labeling,3
Censorship,Web,Removal,3
Censorship,Wikis,Agenda setting,3
Censorship,Wikis,Economic,3
Censorship,Wikis,Enframing,3
Content moderation,AI,Agenda setting,3
Content moderation,AI,Coherence,3
Content moderation,Adult content platform,Filtering,3
Content moderation,Adult content platform,Monitoring,3
Content moderation,Adult content platform,Removal,3
Content moderation,Alt-tech,Coersive,3
Content moderation,Alternative news media,Filtering,3
Content moderation,App store,Balancing,3
Content moderation,App store,Coersive,3
Content moderation,App store,Obfuscation,3
Content moderation,App store,Self-censorship,3
Content moderation,Blog,Blocking,3
Content moderation,Blog,Correcting,3
Content moderation,Blog,Scheduling,3
Content moderation,Blog,Self-censorship,3
Content moderation,Cloud computing,Correcting,3
Content moderation,Cloud computing,Disclosure,3
Content moderation,Cloud computing,Labeling,3
Content moderation,Cloud computing,Marginalisation,3
Content moderation,Cloud computing,Metamoderation,3
Content moderation,Cloud computing,Removal,3
Content moderation,Code repository,Enframing,3
Content moderation,Comment platform,Profiling,3
Content moderation,Comment platform,Review,3
Content moderation,Crowdfunding,Deplatforming,3
Content moderation,Crowdfunding,Filtering,3
Content moderation,Dating app,Disclosure,3
Content moderation,Dating app,Filtering,3
Content moderation,Dating app,Monitoring,3
Content moderation,Decentralized social media,Agenda setting,3
Content moderation,Decentralized social media,Bridging,3
Content moderation,Decentralized social media,Intelligibility,3
Content moderation,Decentralized social media,Self-censorship,3
Content moderation,Deliberation platform,Enframing,3
Content moderation,Deliberation platform,Monitoring,3
Content moderation,Deliberation platform,Prompting,3
Content moderation,Email,Disclosure,3
Content moderation,Email,Filtering,3
Content moderation,ISP,Balancing,3
Content moderation,Image sharing platform,Removal,3
Content moderation,Imageboard,Redirection,3
Content moderation,Infrastructure,Correcting,3
Content moderation,Infrastructure,Disclosure,3
Content moderation,Infrastructure,Marginalisation,3
Content moderation,Infrastructure,Profiling,3
Content moderation,Internet (general),Blocking,3
Content moderation,Internet (general),Marginalisation,3
Content moderation,Mailing list,Enframing,3
Content moderation,Mailing list,Filtering,3
Content moderation,Mailing list,Modification,3
Content moderation,Mailing list,Review,3
Content moderation,Map app,Enframing,3
Content moderation,Map app,Filtering,3
Content moderation,Map app,Marginalisation,3
Content moderation,Map app,Metamoderation,3
Content moderation,Map app,Monitoring,3
Content moderation,Map app,Removal,3
Content moderation,Marketplace,Licensing,3
Content moderation,Marketplace,Obfuscation,3
Content moderation,Marketplace,Profiling,3
Content moderation,Marketplace,Rating,3
Content moderation,Messaging platform,Inclusion,3
Content moderation,Metaverse,Monitoring,3
Content moderation,Metaverse,Removal,3
Content moderation,Metaverse,Review,3
Content moderation,Mobile device,Enframing,3
Content moderation,Mobile device,Filtering,3
Content moderation,Mobile device,Removal,3
Content moderation,Music streaming,Economic,3
Content moderation,News aggregator,Filtering,3
Content moderation,News aggregator,Labeling,3
Content moderation,News aggregator,Rating,3
Content moderation,News aggregator,Removal,3
Content moderation,News aggregator,Review,3
Content moderation,News media,Correcting,3
Content moderation,News media,Disclosure,3
Content moderation,News media,Economic,3
Content moderation,News media,Metamoderation,3
Content moderation,Online fora,Agenda setting,3
Content moderation,Online fora,Disclosure,3
Content moderation,Online learning platform,Correcting,3
Content moderation,Online learning platform,Labeling,3
Content moderation,Online learning platform,Monitoring,3
Content moderation,Online learning platform,Redirection,3
Content moderation,Payment platform,Blocking,3
Content moderation,Payment platform,Filtering,3
Content moderation,Payment platform,Monitoring,3
Content moderation,Payment platform,Removal,3
Content moderation,Payment platform,Review,3
Content moderation,Platforms,Scheduling,3
Content moderation,Pornography,Blocking,3
Content moderation,Pornography,Enframing,3
Content moderation,Pornography,Filtering,3
Content moderation,Pornography,Profiling,3
Content moderation,Pornography,Review,3
Content moderation,Portal,Removal,3
Content moderation,Print media,Agenda setting,3
Content moderation,Print media,Coherence,3
Content moderation,Print media,Licensing,3
Content moderation,Print media,Metamoderation,3
Content moderation,Print media,Scheduling,3
Content moderation,Q&A platform,Deplatforming,3
Content moderation,Q&A platform,Labeling,3
Content moderation,Q&A platform,Rating,3
Content moderation,Q&A platform,Review,3
Content moderation,Radio,Deplatforming,3
Content moderation,Radio,Disclosure,3
Content moderation,Radio,Economic,3
Content moderation,Radio,Labeling,3
Content moderation,Radio,Metamoderation,3
Content moderation,Radio,Monitoring,3
Content moderation,Review platform,Filtering,3
Content moderation,Review platform,Labeling,3
Content moderation,Review platform,Review,3
Content moderation,Ride-sharing platform,Deplatforming,3
Content moderation,Ride-sharing platform,Filtering,3
Content moderation,Ride-sharing platform,Marginalisation,3
Content moderation,Russian social media platform,Monitoring,3
Content moderation,Russian social media platform,Profiling,3
Content moderation,Short video platform,Economic,3
Content moderation,Short video platform,Restricting access,3
Content moderation,Social media platform,Confiscation,3
Content moderation,Social media platform,Other,3
Content moderation,Television,Intermediate,3
Content moderation,Television,Rating,3
Content moderation,Television,Removal from circulation,3
Content moderation,Video game,Deplatforming,3
Content moderation,Video game,Marginalisation,3
Content moderation,Video game,Profiling,3
Content moderation,Video game,Rating,3
Content moderation,Video sharing platform,Other,3
Content moderation,Video streaming platform,Monitoring,3
Content moderation,Videoconferencing,Blocking,3
Content moderation,Videoconferencing,Deplatforming,3
Content moderation,Videoconferencing,Labeling,3
Content moderation,Videoconferencing,Profiling,3
Content moderation,Wikis,Coherence,3
Content moderation,Wikis,Interiorisation,3
Content moderation,Wikis,Redirection,3
Content moderation,Wikis,Scheduling,3
Debate management,Deliberation platform,Review,3
Debate management,Messaging platform,Enframing,3
Debate management,Online fora,Intermediate,3
Debate management,Online fora,Review,3
Debate management,Online learning platform,Balancing,3
Debate management,Print media,Enframing,3
Debate management,Print media,Filtering,3
Debate management,Print media,Rating,3
Debate management,Social media platform,Balancing,3
Debate management,Social media platform,Blocking,3
Debate management,Social media platform,Intermediate,3
Debate management,Social media platform,Profiling,3
Debate management,Social media platform,Rating,3
Debate management,Social media platform,Scheduling,3
Media moderation,Film,Blocking,3
Media moderation,Film,Deplatforming,3
Media moderation,Film,Labeling,3
Media moderation,Film,Monitoring,3
Media moderation,Film,Self-censorship,3
Media moderation,ISP,Filtering,3
Media moderation,ISP,Labeling,3
Media moderation,ISP,Modification,3
Media moderation,ISP,Rating,3
Media moderation,ISP,Restricting access,3
Media moderation,Print media,Confiscation,3
Media moderation,Print media,Disclosure,3
Media moderation,Print media,Rating,3
Media moderation,Radio,Agenda setting,3
Media moderation,Radio,Coersive,3
Media moderation,Radio,Removal from circulation,3
Media moderation,Search engine,Review,3
Media moderation,Social media platform,Deplatforming,3
Media moderation,Television,Disclosure,3
Media moderation,Television,Labeling,3
Media moderation,Television,Modification,3
Media moderation,Television,Monitoring,3
Media moderation,Television,Obfuscation,3
Media moderation,Television,Removal,3
Media moderation,Television,Review,3
Media moderation,Video sharing platform,Profiling,3
Media moderation,Wikis,Modification,3
Media moderation,Wikis,Monitoring,3
Media moderation,Wikis,Removal,3
Media regulation,Film,Filtering,3
Media regulation,Film,Review,3
Media regulation,Internet (general),Blocking,3
Media regulation,Internet (general),Filtering,3
Media regulation,Internet (general),Removal,3
Media regulation,Internet (general),Review,3
Media regulation,Music,Rating,3
Media regulation,Radio,Rating,3
Media regulation,Radio,Review,3
Media regulation,Search engine,Removal,3
Media regulation,Social media platform,Labeling,3
Media regulation,Television,Blocking,3
Media regulation,Television,Filtering,3
Media regulation,Television,Review,3
Other,AI,Disclosure,3
Other,Internet (general),Filtering,3
Other,Messaging platform,Monitoring,3
Other,Messaging platform,Self-censorship,3
Other,Print media,Filtering,3
Other,Print media,Modification,3
Other,Print media,Removal,3
Other,Search engine,Labeling,3
Other,Search engine,Monitoring,3
Other,Search engine,Removal,3
Other,Social media platform,Deplatforming,3
Other,Social media platform,Intelligibility,3
Other,Social media platform,Interiorisation,3
Other,Social media platform,Rating,3
Other,Video sharing platform,Deplatforming,3
Other,Video sharing platform,Filtering,3
Other,Video sharing platform,Intelligibility,3
Other,Video sharing platform,Modification,3
Other,Video sharing platform,Removal,3
Other,Video sharing platform,Restricting access,3
(unknown),Messaging platform,Correcting,2
(unknown),Messaging platform,Review,2
(unknown),Print media,Labeling,2
(unknown),Social media platform,Economic,2
(unknown),Social media platform,Enframing,2
(unknown),Social media platform,Modification,2
(unknown),Video sharing platform,Filtering,2
Censorship,AI,Marginalisation,2
Censorship,Academic publications,Confiscation,2
Censorship,Academic publications,Disclosure,2
Censorship,Academic publications,Interiorisation,2
Censorship,Academic publications,Marginalisation,2
Censorship,Academic publications,Obfuscation,2
Censorship,Alternative news media,Coersive,2
Censorship,Alternative news media,Filtering,2
Censorship,Alternative news media,Self-censorship,2
Censorship,App store,Enframing,2
Censorship,App store,Removal,2
Censorship,Audio,Removal,2
Censorship,Audio,Review,2
Censorship,Blog,Coersive,2
Censorship,Blog,Economic,2
Censorship,Blog,Metamoderation,2
Censorship,Blog,Removal from circulation,2
Censorship,Broadcast media,Coersive,2
Censorship,Broadcast media,Enframing,2
Censorship,Broadcast media,Removal,2
Censorship,Browser,Disclosure,2
Censorship,Browser,Removal,2
Censorship,Comics,Agenda setting,2
Censorship,Comics,Economic,2
Censorship,Comics,Interiorisation,2
Censorship,Comics,Rating,2
Censorship,Comics,Restricting access,2
Censorship,Computer network,Filtering,2
Censorship,Computer network,Review,2
Censorship,Correspondence,Monitoring,2
Censorship,Correspondence,Obfuscation,2
Censorship,Correspondence,Profiling,2
Censorship,Correspondence,Removal,2
Censorship,Correspondence,Review,2
Censorship,Deliberation platform,Coherence,2
Censorship,Deliberation platform,Inclusion,2
Censorship,Deliberation platform,Modification,2
Censorship,Deliberation platform,Rating,2
Censorship,Deliberation platform,Removal,2
Censorship,Digital media,Modification,2
Censorship,Digital media,Removal,2
Censorship,Digital media,Self-censorship,2
Censorship,E-commerce,Monitoring,2
Censorship,E-commerce,Profiling,2
Censorship,E-commerce,Restricting access,2
Censorship,E-commerce,Review,2
Censorship,Educational material,Coersive,2
Censorship,Educational material,Filtering,2
Censorship,Educational material,Removal from circulation,2
Censorship,Email,Blocking,2
Censorship,Email,Interiorisation,2
Censorship,Email,Redirection,2
Censorship,File sharing / P2P,Filtering,2
Censorship,File sharing / P2P,Restricting access,2
Censorship,File sharing / P2P,Review,2
Censorship,Image sharing platform,Blocking,2
Censorship,Image sharing platform,Deplatforming,2
Censorship,Image sharing platform,Disclosure,2
Censorship,Image sharing platform,Filtering,2
Censorship,Image sharing platform,Self-censorship,2
Censorship,Infrastructure,Blocking,2
Censorship,Infrastructure,Economic,2
Censorship,Infrastructure,Licensing,2
Censorship,Infrastructure,Removal from circulation,2
Censorship,Infrastructure,Scheduling,2
