Topic,Medium,How,Items
Content moderation,Video sharing platform,Modification,40
Censorship,Performing arts,Self-censorship,39
Censorship,Social media platform,Labeling,39
Content moderation,Social media platform,Interiorisation,39
Censorship,Film,Deplatforming,38
Censorship,Social media platform,Removal from circulation,38
Censorship,Film,Restricting access,37
Censorship,Television,Licensing,37
Censorship,Film,Confiscation,36
Censorship,Messaging platform,Filtering,36
Censorship,Performing arts,Removal,36
Censorship,Search engine,Blocking,36
Content moderation,ISP,Filtering,36
Content moderation,Print media,Filtering,36
Censorship,ISP,Profiling,35
Censorship,Radio,Deplatforming,35
Censorship,Video sharing platform,Enframing,35
Content moderation,ISP,Enframing,35
Content moderation,Platforms,Blocking,35
Content moderation,Video sharing platform,Redirection,35
Censorship,Film,Rating,34
Censorship,Social media platform,Disclosure,34
Censorship,Television,Deplatforming,34
Censorship,Television,Interiorisation,34
Content moderation,Social media platform,Agenda setting,34
Content moderation,Wikis,Monitoring,34
Content moderation,Wikis,Profiling,34
Censorship,Film,Labeling,33
Censorship,Print media,Disclosure,33
Censorship,Radio,Profiling,33
Content moderation,Social media platform,Intermediate,33
Censorship,ISP,Removal,32
Censorship,Performing arts,Licensing,32
Content moderation,ISP,Review,32
Content moderation,Online fora,Filtering,32
Content moderation,Platforms,Marginalisation,32
Content moderation,Wikis,Labeling,32
Censorship,Performing arts,Filtering,31
Censorship,Social media platform,Correcting,31
Content moderation,E-commerce,Removal,31
Content moderation,Platforms,Disclosure,31
Content moderation,Search engine,Removal from circulation,31
Censorship,Messaging platform,Removal,30
Censorship,Search engine,Enframing,30
Censorship,Search engine,Self-censorship,30
Censorship,Television,Profiling,30
Censorship,Video sharing platform,Blocking,30
Content moderation,Platforms,Profiling,30
Content moderation,Print media,Enframing,30
Censorship,ISP,Review,29
Censorship,Internet (general),Filtering,29
Censorship,Performing arts,Removal from circulation,29
Censorship,Video sharing platform,Review,29
Content moderation,E-commerce,Filtering,29
Content moderation,ISP,Monitoring,29
Content moderation,Social media platform,Balancing,29
Censorship,Radio,Interiorisation,28
Censorship,Social media platform,Licensing,28
Censorship,Television,Restricting access,28
Content moderation,AI,Correcting,28
Censorship,Search engine,Review,27
Content moderation,AI,Restricting access,27
Content moderation,Alt-tech,Removal,27
Content moderation,E-commerce,Enframing,27
Content moderation,E-commerce,Review,27
Content moderation,Messaging platform,Rating,27
Content moderation,Platforms,Labeling,27
Content moderation,Print media,Removal,27
Content moderation,Video sharing platform,Coersive,27
Censorship,Film,Obfuscation,26
Censorship,ISP,Modification,26
Censorship,Messaging platform,Monitoring,26
Censorship,Performing arts,Economic,26
Censorship,Radio,Restricting access,26
Content moderation,Online fora,Removal,26
Content moderation,Platforms,Deplatforming,26
Content moderation,Print media,Review,26
Content moderation,Social media platform,Bridging,26
Content moderation,Social media platform,Licensing,26
Content moderation,Social media platform,Scheduling,26
Censorship,Print media,Marginalisation,25
Censorship,Radio,Confiscation,25
Censorship,Search engine,Profiling,25
Content moderation,AI,Metamoderation,25
Content moderation,ISP,Economic,25
Content moderation,News media,Filtering,25
Content moderation,Online fora,Enframing,25
Content moderation,Social media platform,Coherence,25
Content moderation,Video sharing platform,Obfuscation,25
Content moderation,Video sharing platform,Prompting,25
Censorship,Performing arts,Enframing,24
Censorship,Performing arts,Monitoring,24
Censorship,Video sharing platform,Deplatforming,24
Censorship,Video sharing platform,Profiling,24
Content moderation,AI,Disclosure,24
Content moderation,ISP,Disclosure,24
Content moderation,Search engine,Modification,24
Content moderation,Wikis,Metamoderation,24
Censorship,Performing arts,Blocking,23
Censorship,Search engine,Deplatforming,23
Censorship,Social media platform,Interiorisation,23
Content moderation,AI,Rating,23
Content moderation,Alt-tech,Enframing,23
Content moderation,Alt-tech,Filtering,23
Content moderation,ISP,Blocking,23
Content moderation,Search engine,Rating,23
Censorship,Internet (general),Enframing,22
Censorship,Internet (general),Restricting access,22
Censorship,Messaging platform,Enframing,22
Censorship,Video sharing platform,Self-censorship,22
Content moderation,Alt-tech,Deplatforming,22
Content moderation,Alt-tech,Review,22
Content moderation,ISP,Deplatforming,22
Content moderation,Online fora,Review,22
Content moderation,Video sharing platform,Interiorisation,22
Content moderation,Wikis,Deplatforming,22
Content moderation,Wikis,Marginalisation,22
Censorship,Messaging platform,Restricting access,21
Censorship,Print media,Correcting,21
Censorship,Television,Confiscation,21
Censorship,Television,Rating,21
Content moderation,Decentralized social media,Filtering,21
Content moderation,E-commerce,Monitoring,21
Content moderation,ISP,Labeling,21
Content moderation,ISP,Marginalisation,21
Content moderation,ISP,Profiling,21
Content moderation,ISP,Restricting access,21
Content moderation,News media,Review,21
Content moderation,Platforms,Economic,21
Content moderation,Platforms,Restricting access,21
Content moderation,Wikis,Blocking,21
Media moderation,Social media platform,Filtering,21
Censorship,ISP,Self-censorship,20
Censorship,Performing arts,Profiling,20
Censorship,Television,Labeling,20
Censorship,Television,Obfuscation,20
Censorship,Video sharing platform,Economic,20
Content moderation,Search engine,Self-censorship,20
Content moderation,Wikis,Disclosure,20
Content moderation,Wikis,Rating,20
Censorship,ISP,Deplatforming,19
Censorship,Internet (general),Review,19
Censorship,Messaging platform,Self-censorship,19
Censorship,Performing arts,Coersive,19
Content moderation,AI,Modification,19
Content moderation,Decentralized social media,Enframing,19
Content moderation,Decentralized social media,Removal,19
Content moderation,E-commerce,Marginalisation,19
Content moderation,Imageboard,Removal,19
Content moderation,Messaging platform,Redirection,19
Content moderation,Messaging platform,Self-censorship,19
Content moderation,Platforms,Metamoderation,19
Content moderation,Wikis,Restricting access,19
Censorship,ISP,Enframing,18
Censorship,ISP,Redirection,18
Censorship,Internet (general),Blocking,18
Censorship,Internet (general),Monitoring,18
Censorship,Internet (general),Removal,18
Censorship,Internet (general),Self-censorship,18
Censorship,Messaging platform,Blocking,18
Censorship,Messaging platform,Review,18
Censorship,Performing arts,Deplatforming,18
Censorship,Radio,Labeling,18
Content moderation,Alt-tech,Marginalisation,18
Content moderation,ISP,Metamoderation,18
Content moderation,News media,Enframing,18
Content moderation,News media,Removal,18
Content moderation,Video sharing platform,Agenda setting,18
Content moderation,Video sharing platform,Intermediate,18
Debate management,Social media platform,Enframing,18
Media moderation,Social media platform,Removal,18
Censorship,Film,Agenda setting,17
Censorship,Performing arts,Interiorisation,17
Censorship,Radio,Agenda setting,17
Censorship,Radio,Obfuscation,17
Censorship,Search engine,Disclosure,17
Censorship,Search engine,Economic,17
Censorship,Social media platform,Obfuscation,17
Censorship,Social media platform,Redirection,17
Censorship,Television,Agenda setting,17
Censorship,Video sharing platform,Marginalisation,17
Content moderation,App store,Removal,17
Content moderation,App store,Review,17
Content moderation,E-commerce,Blocking,17
Content moderation,E-commerce,Profiling,17
Content moderation,Imageboard,Filtering,17
Content moderation,Print media,Monitoring,17
Censorship,AI,Filtering,16
Censorship,Internet (general),Economic,16
Censorship,Messaging platform,Modification,16
Censorship,Performing arts,Confiscation,16
Censorship,Print media,Scheduling,16
Censorship,Radio,Rating,16
Censorship,Social media platform,Metamoderation,16
Censorship,Social media platform,Rating,16
Content moderation,App store,Blocking,16
Content moderation,App store,Enframing,16
Content moderation,App store,Filtering,16
Content moderation,Imageboard,Review,16
Content moderation,Messaging platform,Prompting,16
Content moderation,Messaging platform,Removal from circulation,16
Content moderation,Video sharing platform,Scheduling,16
Media moderation,Print media,Filtering,16
Media moderation,Social media platform,Enframing,16
Censorship,ISP,Disclosure,15
Censorship,Messaging platform,Profiling,15
Censorship,Search engine,Correcting,15
Censorship,Search engine,Marginalisation,15
Censorship,Search engine,Modification,15
