date,ranking,classification,classification nr,text,id,replies,retweets,likes,quotes,total_engagement
2022-12-14 22:54:15,115,normal,0.7344145179,"CNN projects Minnesota Secretary of State Steve Simon (D) has defeated Kim Crockett (R), who called Minnesota's 2020 election illegitimate, made lots of false claims about elections, and played an antisemitic video depicting Simon, who is Jewish, as a puppet of George Soros.",1590211268312707073,81,869,4731,,5681
2022-12-14 21:01:12,137,normal,0.7344145179,"CNN projects Minnesota Secretary of State Steve Simon (D) has defeated Kim Crockett (R), who called Minnesota's 2020 election illegitimate, made lots of false claims about elections, and played an antisemitic video depicting Simon, who is Jewish, as a puppet of George Soros.",1590211268312707073,81,869,4731,,5681
2022-12-12 3:07:57,6,normal,0.6591364145,Elon Musk calls Jewish US Army officer ‘puppet & puppeteer’ - The Jerusalem Post,1597031224933253122,153,881,1959,,2993
2022-12-12 7:05:18,5,normal,0.6591364145,Elon Musk calls Jewish US Army officer ‘puppet & puppeteer’ - The Jerusalem Post,1597031224933253122,153,881,1958,,2992
2022-12-12 5:05:54,8,normal,0.6591364145,Elon Musk calls Jewish US Army officer ‘puppet & puppeteer’ - The Jerusalem Post,1597031224933253122,153,881,1958,,2992
2022-12-14 19:07:31,3,normal,0.6591364145,Elon Musk calls Jewish US Army officer ‘puppet & puppeteer’ - The Jerusalem Post,1597031224933253122,154,880,1956,,2990
2022-12-14 21:01:12,144,normal,0.6591364145,Elon Musk calls Jewish US Army officer ‘puppet & puppeteer’ - The Jerusalem Post,1597031224933253122,154,880,1955,,2989
2022-12-15 0:48:43,138,normal,0.6591364145,Elon Musk calls Jewish US Army officer ‘puppet & puppeteer’ - The Jerusalem Post,1597031224933253122,154,880,1954,,2988
2022-12-12 1:10:30,49,normal,0.42958498,"reactionaries have such cursed minds

Christian Nazis are currently fighting with pagan Nazis about whether ""Jesus hated Jewish people"" (insane) or ""Jesus was a Jewish puppet"" (deranged)",1567492755697401856,15,44,830,,889
2022-12-12 3:07:57,3,normal,0.42958498,"reactionaries have such cursed minds

Christian Nazis are currently fighting with pagan Nazis about whether ""Jesus hated Jewish people"" (insane) or ""Jesus was a Jewish puppet"" (deranged)",1567492755697401856,15,44,829,,888
2022-12-12 17:44:40,2,normal,0.42958498,"reactionaries have such cursed minds

Christian Nazis are currently fighting with pagan Nazis about whether ""Jesus hated Jewish people"" (insane) or ""Jesus was a Jewish puppet"" (deranged)",1567492755697401856,15,44,829,,888
2022-12-12 19:44:49,2,normal,0.42958498,"reactionaries have such cursed minds

Christian Nazis are currently fighting with pagan Nazis about whether ""Jesus hated Jewish people"" (insane) or ""Jesus was a Jewish puppet"" (deranged)",1567492755697401856,15,44,829,,888
2022-12-12 11:56:07,2,normal,0.42958498,"reactionaries have such cursed minds

Christian Nazis are currently fighting with pagan Nazis about whether ""Jesus hated Jewish people"" (insane) or ""Jesus was a Jewish puppet"" (deranged)",1567492755697401856,15,44,829,,888
2022-12-12 15:46:30,2,normal,0.42958498,"reactionaries have such cursed minds

Christian Nazis are currently fighting with pagan Nazis about whether ""Jesus hated Jewish people"" (insane) or ""Jesus was a Jewish puppet"" (deranged)",1567492755697401856,15,44,829,,888
2022-12-12 7:05:18,3,normal,0.42958498,"reactionaries have such cursed minds

Christian Nazis are currently fighting with pagan Nazis about whether ""Jesus hated Jewish people"" (insane) or ""Jesus was a Jewish puppet"" (deranged)",1567492755697401856,15,44,829,,888
2022-12-12 5:05:54,3,normal,0.42958498,"reactionaries have such cursed minds

Christian Nazis are currently fighting with pagan Nazis about whether ""Jesus hated Jewish people"" (insane) or ""Jesus was a Jewish puppet"" (deranged)",1567492755697401856,15,44,829,,888
2022-12-14 14:59:00,75,normal,0.6184113622,"Every milquetoast conservative puppet who pushes the status quo on college campuses talks about white people puppeteering groups like BLM in the same way Kanye replaces the word white with Jewish.

Then they cry anti-Semitism “hate speech” to keep their gig like Charles Barkley.",1588484257424769024,18,46,509,,573
2022-12-14 13:10:56,37,normal,0.4508748055,"Under my dictatorship, I’ll shut down BBC Hausa, Arewa 24 etc then further persecute their ‘journalists’ until the last of them flee to seek asylum in London

While bandits inflict physical pain on the ummah, these Jewish puppets are desecrating the small morality of this ummah",1564951980820385793,14,193,265,,472
2022-12-14 14:59:00,41,normal,0.4508748055,"Under my dictatorship, I’ll shut down BBC Hausa, Arewa 24 etc then further persecute their ‘journalists’ until the last of them flee to seek asylum in London

While bandits inflict physical pain on the ummah, these Jewish puppets are desecrating the small morality of this ummah",1564951980820385793,14,193,265,,472
2022-12-15 0:48:43,6,normal,0.764588356,Jewish PUPPET....MAFIA KHAZZAR,1592842373922709504,34,133,276,,443
2022-12-14 22:54:15,3,normal,0.764588356,Jewish PUPPET....MAFIA KHAZZAR,1592842373922709504,34,133,276,,443
